Date,Time,Type,Wind,Pressure,Latitude(°N),Longitude(°E),Humidity(%),Temperature(°C),Visibility(km),Precipitation(mm),SST(°C),Storm Surge(m),Wave Height(m),Air Density(kg/m³)
25-May,6:00,Low Pressure Area,35,952,10.4,79.8,85,6,5,15,17,0.8,0.8,1.225
25-May,12:00,Disturbance,66,954,17.8,78.7,83,18,12,70,16,0.6,0.6,1.225
25-May,18:00,Low Pressure Area,128,947,10.5,73.6,81,5,14,61,17,0.5,1.3,1.225
25-May,6:00,Severe Cyclonic Storm,66,996,8.6,80.9,99,21,14,15,18,0.3,1.5,1.225
26-May,6:00,Depression,137,958,13.1,81.6,76,26,0,29,22,1.0,0.3,1.225
26-May,0:00,Severe Cyclonic Storm,141,974,12.8,81.8,88,10,9,4,10,1.1,0.7,1.225
26-May,0:00,Low Pressure Area,153,975,18.5,80.0,83,6,1,11,23,1.4,1.6,1.225
26-May,12:00,Depression,197,1003,10.8,84.8,85,17,1,64,26,0.2,1.1,1.225
27-May,6:00,Very Severe Cyclonic Storm,100,993,8.0,83.6,75,22,4,56,25,0.5,0.7,1.225
27-May,6:00,Cyclonic Storm,140,952,18.2,77.6,79,21,14,42,21,1.4,1.6,1.225
27-May,6:00,Low Pressure Area,56,983,18.7,77.7,77,11,3,71,16,0.2,1.7,1.225
27-May,12:00,Low Pressure Area,209,977,16.0,79.6,92,9,14,33,18,1.1,0.6,1.225
28-May,12:00,Disturbance,72,955,14.9,84.7,91,21,4,46,25,0.5,0.9,1.225
28-May,0:00,Low Pressure Area,87,964,10.2,80.2,96,12,2,70,23,0.3,0.9,1.225
28-May,6:00,Cyclonic Storm,145,992,16.5,79.2,89,23,6,32,13,0.9,0.6,1.225
28-May,12:00,Very Severe Cyclonic Storm,69,1004,12.0,81.9,76,25,0,32,23,1.2,0.8,1.225
29-May,6:00,Extremely Severe Cyclonic Storm,67,955,13.3,77.2,75,26,11,73,21,0.7,1.3,1.225
29-May,12:00,Very Severe Cyclonic Storm,213,989,16.2,75.0,78,26,7,37,18,0.1,1.0,1.225
29-May,12:00,Very Severe Cyclonic Storm,183,948,10.0,80.3,98,19,2,36,23,0.8,1.6,1.225
29-May,12:00,Cyclonic Storm,35,946,10.4,73.5,93,16,2,34,19,1.4,1.9,1.225
30-May,6:00,Depression,217,960,8.0,74.6,95,5,8,23,16,1.0,0.8,1.225
30-May,18:00,Extremely Severe Cyclonic Storm,39,983,15.6,83.9,88,18,6,32,18,0.6,1.4,1.225
30-May,0:00,Very Severe Cyclonic Storm,57,1001,8.6,79.0,83,18,3,59,25,1.5,1.3,1.225
30-May,0:00,Cyclonic Storm,160,999,16.7,79.6,82,13,6,81,10,0.9,0.6,1.225
31-May,12:00,Very Severe Cyclonic Storm,114,943,14.0,75.8,81,11,13,81,26,0.4,1.1,1.225
31-May,0:00,Extremely Severe Cyclonic Storm,195,996,17.6,75.7,97,27,14,40,13,1.1,1.0,1.225
31-May,12:00,Depression,149,990,12.3,80.0,80,15,14,83,23,0.1,0.8,1.225
31-May,6:00,Severe Cyclonic Storm,160,943,14.6,80.9,92,4,8,9,26,0.8,1.8,1.225
01-Jun,12:00,Depression,212,989,15.5,74.5,88,18,9,11,23,1.3,0.9,1.225
01-Jun,12:00,Severe Cyclonic Storm,216,986,16.6,79.8,83,9,1,67,10,0.4,0.6,1.225
01-Jun,6:00,Cyclonic Storm,42,942,13.6,78.0,91,19,7,26,23,0.4,1.5,1.225
01-Jun,18:00,Very Severe Cyclonic Storm,108,939,18.8,76.5,97,9,9,91,10,1.3,1.4,1.225
02-Jun,18:00,Low Pressure Area,146,936,11.7,75.0,88,7,6,62,20,0.5,0.9,1.225
02-Jun,12:00,Extremely Severe Cyclonic Storm,103,1004,17.0,82.0,83,26,13,2,17,1.5,1.0,1.225
02-Jun,6:00,Low Pressure Area,178,984,9.2,73.0,95,13,5,61,27,0.4,1.1,1.225
02-Jun,6:00,Disturbance,40,963,11.0,82.0,88,8,7,76,20,0.5,0.9,1.225
03-Jun,6:00,Very Severe Cyclonic Storm,138,974,12.0,75.0,96,11,9,31,13,1.3,0.5,1.225
03-Jun,6:00,Cyclonic Storm,90,1003,15.8,79.3,96,21,13,17,10,1.3,1.0,1.225
03-Jun,6:00,Extremely Severe Cyclonic Storm,68,949,13.8,79.3,91,10,2,68,21,0.6,1.8,1.225
03-Jun,6:00,Depression,183,995,14.8,80.0,76,25,12,66,21,1.3,0.6,1.225
04-Jun,18:00,Extremely Severe Cyclonic Storm,186,998,10.1,73.6,80,22,0,51,22,1.2,0.6,1.225
04-Jun,6:00,Low Pressure Area,199,961,14.1,77.8,97,12,12,51,24,0.6,0.7,1.225
04-Jun,18:00,Very Severe Cyclonic Storm,75,948,8.1,80.3,84,5,7,3,19,1.1,0.5,1.225
04-Jun,18:00,Low Pressure Area,208,976,16.7,81.9,98,16,0,31,23,0.7,1.0,1.225
05-Jun,18:00,Disturbance,72,985,19.5,78.6,89,17,7,9,14,0.7,0.6,1.225
05-Jun,12:00,Severe Cyclonic Storm,144,1004,15.2,73.4,78,20,9,16,19,0.5,0.2,1.225
05-Jun,18:00,Extremely Severe Cyclonic Storm,90,982,15.4,79.3,75,8,3,60,12,0.9,0.9,1.225
05-Jun,12:00,Depression,143,960,12.1,76.6,85,11,12,27,15,0.4,1.7,1.225
06-Jun,0:00,Very Severe Cyclonic Storm,129,947,18.4,83.0,75,22,8,60,14,0.1,0.6,1.225
06-Jun,0:00,Disturbance,93,987,10.1,76.4,80,14,2,14,24,1.1,0.8,1.225
06-Jun,0:00,Cyclonic Storm,114,943,12.4,85.0,83,25,6,69,18,0.7,0.7,1.225
06-Jun,0:00,Severe Cyclonic Storm,94,998,16.1,75.8,84,24,8,17,18,1.0,0.5,1.225
07-Jun,0:00,Severe Cyclonic Storm,123,982,18.2,83.0,92,21,10,6,27,1.1,1.5,1.225
07-Jun,0:00,Severe Cyclonic Storm,45,975,19.1,77.3,92,15,4,40,24,0.9,2.0,1.225
07-Jun,6:00,Very Severe Cyclonic Storm,145,991,11.6,73.2,75,11,9,94,15,0.7,0.4,1.225
07-Jun,0:00,Depression,139,964,13.0,76.7,89,11,2,88,12,0.2,0.7,1.225
08-Jun,12:00,Very Severe Cyclonic Storm,108,957,10.0,74.6,80,22,7,68,18,0.6,0.7,1.225
08-Jun,12:00,Cyclonic Storm,63,1004,11.6,80.8,83,21,11,15,20,1.4,1.4,1.225
08-Jun,6:00,Cyclonic Storm,127,950,16.9,73.7,86,24,12,9,24,0.7,1.1,1.225
08-Jun,0:00,Extremely Severe Cyclonic Storm,187,944,13.3,84.4,98,11,10,69,11,0.7,1.8,1.225
09-Jun,6:00,Low Pressure Area,39,960,9.5,75.9,98,17,11,31,26,0.2,1.0,1.225
09-Jun,12:00,Depression,189,959,9.7,84.9,76,9,0,3,12,0.6,0.6,1.225
09-Jun,18:00,Very Severe Cyclonic Storm,136,1000,13.8,78.8,78,8,9,55,24,0.8,0.7,1.225
09-Jun,18:00,Cyclonic Storm,132,1000,18.6,74.6,87,15,8,14,14,1.1,1.0,1.225
10-Jun,12:00,Severe Cyclonic Storm,97,952,19.1,80.9,94,9,13,9,14,0.9,1.9,1.225
10-Jun,6:00,Very Severe Cyclonic Storm,122,947,19.6,81.9,78,25,13,13,10,1.0,1.2,1.225
10-Jun,6:00,Extremely Severe Cyclonic Storm,155,942,13.4,78.0,90,9,1,59,20,1.1,0.9,1.225
10-Jun,6:00,Severe Cyclonic Storm,177,961,19.3,82.6,79,5,12,4,22,0.2,0.9,1.225
11-Jun,18:00,Disturbance,163,961,13.0,78.5,87,4,8,71,26,0.7,1.2,1.225
11-Jun,0:00,Severe Cyclonic Storm,81,993,18.3,73.9,81,22,14,82,25,0.8,1.6,1.225
11-Jun,18:00,Disturbance,118,999,17.3,76.2,96,20,2,73,26,0.8,0.4,1.225
11-Jun,12:00,Severe Cyclonic Storm,37,976,17.5,74.0,86,13,3,28,10,0.3,0.6,1.225
12-Jun,0:00,Severe Cyclonic Storm,96,960,13.1,76.9,98,18,12,88,20,0.6,1.3,1.225
12-Jun,12:00,Low Pressure Area,54,948,16.3,74.1,99,12,1,45,24,0.2,0.3,1.225
12-Jun,0:00,Severe Cyclonic Storm,136,962,19.7,82.7,76,6,9,90,16,0.3,0.7,1.225
12-Jun,0:00,Severe Cyclonic Storm,142,994,17.1,74.2,82,16,9,66,23,1.2,1.0,1.225
13-Jun,0:00,Depression,209,988,18.3,73.0,80,16,2,93,23,1.4,1.3,1.225
13-Jun,6:00,Low Pressure Area,117,993,9.3,84.9,91,5,10,15,14,0.6,1.1,1.225
13-Jun,0:00,Extremely Severe Cyclonic Storm,160,980,19.1,83.7,77,26,2,35,17,0.5,1.4,1.225
13-Jun,12:00,Cyclonic Storm,104,981,10.8,81.2,85,25,3,68,24,0.3,0.9,1.225
14-Jun,0:00,Depression,71,998,18.6,78.1,82,7,2,63,23,0.9,0.3,1.225
14-Jun,6:00,Depression,214,963,13.8,76.4,99,15,1,62,18,0.9,1.1,1.225
14-Jun,18:00,Low Pressure Area,88,935,15.8,77.6,76,17,4,26,19,0.6,1.1,1.225
14-Jun,18:00,Very Severe Cyclonic Storm,102,941,8.7,84.5,79,12,13,90,24,1.4,1.5,1.225
15-Jun,6:00,Very Severe Cyclonic Storm,68,978,19.6,73.0,79,12,8,30,20,1.1,0.4,1.225
15-Jun,6:00,Severe Cyclonic Storm,172,959,16.3,80.4,75,19,9,65,18,1.1,0.5,1.225
15-Jun,6:00,Extremely Severe Cyclonic Storm,201,980,12.7,81.4,90,11,7,26,14,0.6,1.0,1.225
15-Jun,0:00,Very Severe Cyclonic Storm,110,1003,12.9,74.3,91,14,1,5,15,1.2,0.3,1.225
16-Jun,18:00,Cyclonic Storm,174,978,11.2,79.9,75,10,9,2,26,1.4,0.4,1.225
16-Jun,0:00,Severe Cyclonic Storm,207,995,14.4,74.2,90,26,10,71,10,1.3,1.4,1.225
16-Jun,12:00,Low Pressure Area,46,977,8.6,76.1,94,6,3,36,20,1.3,0.8,1.225
16-Jun,18:00,Cyclonic Storm,118,950,19.4,73.6,76,21,9,69,12,0.9,0.9,1.225
17-Jun,6:00,Severe Cyclonic Storm,146,990,10.9,82.8,99,22,4,67,21,1.2,0.8,1.225
17-Jun,6:00,Severe Cyclonic Storm,118,966,9.0,84.9,75,25,8,59,22,1.2,1.4,1.225
17-Jun,18:00,Disturbance,140,937,9.1,73.5,92,5,13,69,17,0.4,1.4,1.225
17-Jun,18:00,Extremely Severe Cyclonic Storm,133,986,18.9,79.7,98,6,13,74,11,1.5,0.4,1.225
18-Jun,6:00,Extremely Severe Cyclonic Storm,158,986,13.5,75.1,93,26,13,78,26,1.0,0.3,1.225
18-Jun,0:00,Cyclonic Storm,195,988,19.3,83.6,97,8,10,12,21,0.7,1.0,1.225
18-Jun,12:00,Cyclonic Storm,36,970,12.6,80.4,90,23,2,64,20,0.2,1.3,1.225
18-Jun,0:00,Depression,74,996,15.2,80.7,86,17,6,29,19,1.0,0.6,1.225
19-Jun,6:00,Extremely Severe Cyclonic Storm,41,936,12.0,73.6,88,20,2,53,27,1.2,0.3,1.225
19-Jun,0:00,Disturbance,199,985,18.4,80.1,81,15,3,6,11,0.5,0.1,1.225
19-Jun,18:00,Very Severe Cyclonic Storm,48,977,11.4,75.4,95,27,6,26,24,1.0,0.6,1.225
19-Jun,12:00,Cyclonic Storm,43,978,14.6,78.2,85,24,11,27,21,1.0,0.3,1.225
20-Jun,6:00,Depression,179,970,18.0,76.8,82,10,3,51,10,0.5,0.1,1.225
20-Jun,6:00,Depression,175,989,14.0,76.5,92,19,0,77,19,1.3,0.6,1.225
20-Jun,18:00,Disturbance,197,971,10.6,82.9,82,22,14,35,26,1.3,0.9,1.225
20-Jun,0:00,Extremely Severe Cyclonic Storm,174,944,8.5,84.9,94,16,3,35,10,0.4,1.7,1.225
21-Jun,12:00,Disturbance,170,961,18.6,75.1,90,15,7,10,17,1.1,1.1,1.225
21-Jun,12:00,Very Severe Cyclonic Storm,182,960,15.5,81.9,80,16,14,57,15,1.1,0.9,1.225
21-Jun,12:00,Extremely Severe Cyclonic Storm,190,997,11.6,78.3,96,8,1,78,14,1.4,1.5,1.225
21-Jun,12:00,Disturbance,98,987,16.4,77.8,92,26,10,5,26,1.3,0.7,1.225
22-Jun,18:00,Disturbance,95,1002,10.7,77.5,87,5,1,87,12,1.3,0.6,1.225
22-Jun,12:00,Disturbance,135,943,11.5,77.5,83,6,7,86,15,0.4,0.4,1.225
22-Jun,0:00,Cyclonic Storm,103,940,9.9,85.0,93,20,0,6,21,1.2,1.9,1.225
22-Jun,18:00,Depression,135,966,9.4,76.3,85,24,14,8,26,0.7,1.2,1.225
23-Jun,6:00,Depression,205,936,9.2,73.2,95,10,12,81,11,0.6,1.4,1.225
23-Jun,12:00,Disturbance,211,957,17.6,75.3,96,27,3,84,11,0.5,1.8,1.225
23-Jun,18:00,Disturbance,104,948,18.6,81.1,91,27,7,20,26,0.2,1.4,1.225
23-Jun,6:00,Severe Cyclonic Storm,60,979,9.6,81.6,86,4,9,78,16,0.8,1.7,1.225
24-Jun,0:00,Severe Cyclonic Storm,210,938,12.9,79.0,94,5,11,56,13,1.2,1.2,1.225
24-Jun,6:00,Severe Cyclonic Storm,192,956,11.7,82.0,86,19,14,20,10,0.6,0.4,1.225
24-Jun,0:00,Low Pressure Area,152,975,10.0,76.8,80,15,2,89,13,0.6,1.0,1.225
24-Jun,6:00,Cyclonic Storm,201,959,16.7,74.1,96,16,2,92,21,0.5,0.5,1.225
25-Jun,12:00,Extremely Severe Cyclonic Storm,208,982,10.5,73.8,77,25,1,80,13,0.6,0.9,1.225
25-Jun,0:00,Very Severe Cyclonic Storm,133,957,16.1,75.3,96,9,4,33,16,1.2,0.7,1.225
25-Jun,0:00,Very Severe Cyclonic Storm,46,990,18.3,83.0,91,15,1,43,13,0.4,1.7,1.225
25-Jun,12:00,Disturbance,139,990,10.1,83.8,86,21,6,42,24,0.7,0.2,1.225
26-Jun,12:00,Disturbance,190,987,17.7,82.0,94,13,3,44,22,0.1,0.2,1.225
26-Jun,18:00,Disturbance,112,964,16.8,84.7,92,18,3,77,25,1.2,0.7,1.225
26-Jun,6:00,Disturbance,47,995,15.9,73.9,91,17,13,44,14,1.4,0.5,1.225
26-Jun,18:00,Low Pressure Area,85,960,11.3,81.8,83,11,2,52,22,1.2,1.3,1.225
27-Jun,18:00,Disturbance,35,961,12.9,80.1,90,23,1,70,13,1.4,1.3,1.225
27-Jun,12:00,Disturbance,66,966,9.0,84.7,92,6,10,96,19,0.6,0.2,1.225
27-Jun,6:00,Cyclonic Storm,182,948,14.5,77.5,80,8,14,35,20,1.3,1.6,1.225
27-Jun,0:00,Depression,113,971,18.4,76.3,76,9,13,39,12,1.5,0.3,1.225
28-Jun,18:00,Disturbance,100,990,10.2,80.5,97,18,6,88,26,1.0,1.6,1.225
28-Jun,18:00,Disturbance,217,954,18.9,79.8,81,7,3,13,14,0.5,1.8,1.225
28-Jun,0:00,Disturbance,67,954,16.3,76.9,82,15,1,21,17,0.4,0.8,1.225
28-Jun,18:00,Very Severe Cyclonic Storm,134,948,15.9,77.6,76,15,8,18,22,0.4,0.6,1.225
29-Jun,18:00,Extremely Severe Cyclonic Storm,146,952,13.0,79.8,92,11,2,97,26,0.3,0.3,1.225
29-Jun,18:00,Low Pressure Area,149,942,16.2,73.9,97,24,13,52,18,0.8,0.5,1.225
29-Jun,12:00,Very Severe Cyclonic Storm,50,981,17.9,79.3,83,22,2,76,18,1.0,1.2,1.225
29-Jun,18:00,Extremely Severe Cyclonic Storm,196,995,11.5,73.7,84,17,10,39,23,0.8,1.7,1.225
30-Jun,18:00,Disturbance,130,950,12.3,84.2,77,13,14,57,19,0.1,0.3,1.225
30-Jun,6:00,Cyclonic Storm,218,1000,9.0,80.6,80,23,0,39,25,1.4,1.2,1.225
30-Jun,12:00,Disturbance,148,957,8.9,82.9,81,22,6,94,17,0.2,0.8,1.225
30-Jun,12:00,Cyclonic Storm,175,971,16.9,80.7,79,5,14,26,18,1.0,0.8,1.225
01-Jul,12:00,Extremely Severe Cyclonic Storm,198,1000,13.5,79.2,95,27,8,34,14,0.8,1.8,1.225
01-Jul,6:00,Low Pressure Area,57,992,8.2,74.4,76,5,6,66,18,0.8,0.5,1.225
01-Jul,6:00,Very Severe Cyclonic Storm,138,997,18.0,84.7,95,22,4,68,26,1.1,0.7,1.225
01-Jul,12:00,Depression,153,972,10.6,78.2,88,7,7,39,14,0.2,1.4,1.225
02-Jul,6:00,Disturbance,148,964,8.1,76.2,83,15,0,10,12,1.1,0.2,1.225
02-Jul,12:00,Depression,52,992,14.6,75.9,77,27,2,25,16,0.9,0.2,1.225
02-Jul,6:00,Extremely Severe Cyclonic Storm,123,984,14.1,84.2,84,23,11,4,15,1.4,1.2,1.225
02-Jul,18:00,Severe Cyclonic Storm,129,976,16.3,75.9,76,8,6,27,11,0.6,0.9,1.225
03-Jul,12:00,Low Pressure Area,80,944,14.0,80.7,77,20,4,42,18,0.7,1.1,1.225
03-Jul,12:00,Very Severe Cyclonic Storm,81,957,15.3,77.1,94,11,10,64,23,0.2,1.2,1.225
03-Jul,18:00,Severe Cyclonic Storm,156,968,18.1,82.6,93,17,8,7,24,0.3,1.5,1.225
03-Jul,12:00,Very Severe Cyclonic Storm,212,985,10.2,84.6,82,16,5,85,23,0.9,1.0,1.225
04-Jul,0:00,Disturbance,195,997,15.8,84.9,97,26,11,62,19,0.3,1.0,1.225
04-Jul,12:00,Cyclonic Storm,216,972,19.3,77.8,89,10,5,65,18,0.9,1.3,1.225
04-Jul,12:00,Extremely Severe Cyclonic Storm,49,955,15.5,80.8,79,11,7,22,22,1.5,1.0,1.225
04-Jul,0:00,Disturbance,157,961,8.6,77.3,92,15,3,74,17,0.2,1.4,1.225
05-Jul,6:00,Disturbance,127,988,12.8,79.5,96,17,9,68,10,1.4,0.1,1.225
05-Jul,18:00,Very Severe Cyclonic Storm,148,969,15.4,76.8,82,9,0,84,26,1.3,1.2,1.225
05-Jul,18:00,Extremely Severe Cyclonic Storm,58,975,15.8,74.6,78,25,1,27,10,0.3,0.2,1.225
05-Jul,0:00,Disturbance,213,989,11.3,84.8,85,11,1,32,16,1.2,1.6,1.225
06-Jul,18:00,Severe Cyclonic Storm,62,974,14.9,77.7,76,25,14,38,11,1.4,1.5,1.225
06-Jul,18:00,Very Severe Cyclonic Storm,65,963,9.5,83.5,94,10,5,32,20,1.4,0.4,1.225
06-Jul,12:00,Cyclonic Storm,148,962,8.0,73.2,77,25,1,18,25,0.3,1.1,1.225
06-Jul,18:00,Severe Cyclonic Storm,211,977,8.7,84.4,92,16,9,18,25,0.2,1.7,1.225
07-Jul,0:00,Low Pressure Area,97,969,17.1,78.3,86,15,3,25,11,1.2,1.2,1.225
07-Jul,18:00,Severe Cyclonic Storm,206,998,12.4,82.4,93,6,6,32,14,0.9,0.4,1.225
07-Jul,6:00,Severe Cyclonic Storm,190,935,18.4,74.8,77,26,6,79,24,1.4,0.8,1.225
07-Jul,18:00,Depression,168,994,13.8,83.3,99,16,8,42,25,1.0,0.1,1.225
08-Jul,12:00,Extremely Severe Cyclonic Storm,139,984,11.8,82.6,93,18,11,57,16,1.4,1.3,1.225
08-Jul,6:00,Severe Cyclonic Storm,70,967,19.8,79.5,99,24,2,32,20,0.5,2.0,1.225
08-Jul,18:00,Severe Cyclonic Storm,48,959,11.6,76.1,83,10,0,77,10,0.4,0.3,1.225
08-Jul,18:00,Depression,102,968,12.0,73.4,85,22,3,1,10,0.3,0.5,1.225
09-Jul,12:00,Extremely Severe Cyclonic Storm,148,986,11.8,80.2,92,26,1,39,20,1.4,0.8,1.225
09-Jul,6:00,Cyclonic Storm,108,956,18.0,82.8,87,18,5,46,26,0.4,0.3,1.225
09-Jul,0:00,Disturbance,115,975,17.3,77.7,92,9,14,77,23,0.3,1.7,1.225
09-Jul,6:00,Extremely Severe Cyclonic Storm,89,980,18.4,75.7,92,8,1,13,13,1.4,0.8,1.225
10-Jul,12:00,Cyclonic Storm,218,1003,12.6,83.6,91,27,1,63,16,1.0,1.3,1.225
10-Jul,6:00,Low Pressure Area,213,975,10.7,77.9,80,6,0,62,11,0.2,0.4,1.225
10-Jul,12:00,Extremely Severe Cyclonic Storm,60,962,10.2,79.4,92,8,14,78,21,1.4,1.2,1.225
10-Jul,6:00,Low Pressure Area,134,985,11.5,83.1,98,21,1,88,11,1.0,1.3,1.225
11-Jul,12:00,Disturbance,89,942,15.6,82.8,93,9,6,9,17,0.4,0.4,1.225
11-Jul,6:00,Low Pressure Area,116,988,8.9,76.6,79,19,13,71,22,0.4,1.5,1.225
11-Jul,18:00,Severe Cyclonic Storm,197,952,18.3,83.5,84,6,6,35,18,1.5,0.3,1.225
11-Jul,12:00,Severe Cyclonic Storm,84,950,19.5,79.9,92,12,5,16,15,0.8,0.8,1.225
12-Jul,6:00,Depression,203,954,17.9,80.5,81,18,13,76,27,1.0,1.0,1.225
12-Jul,18:00,Very Severe Cyclonic Storm,92,967,12.0,84.5,78,18,0,8,26,1.2,0.4,1.225
12-Jul,6:00,Very Severe Cyclonic Storm,59,965,16.0,74.4,91,5,13,99,26,1.1,0.2,1.225
12-Jul,0:00,Very Severe Cyclonic Storm,73,937,17.7,77.1,89,17,13,58,20,0.5,0.9,1.225
13-Jul,18:00,Severe Cyclonic Storm,68,1004,9.6,74.2,80,23,14,43,21,0.9,1.8,1.225
13-Jul,18:00,Extremely Severe Cyclonic Storm,187,972,12.8,79.0,98,24,7,8,20,0.7,0.3,1.225
13-Jul,6:00,Extremely Severe Cyclonic Storm,160,941,13.0,80.7,86,17,2,38,16,0.7,1.9,1.225
13-Jul,12:00,Extremely Severe Cyclonic Storm,63,997,14.5,84.6,79,10,6,43,26,1.0,0.8,1.225
14-Jul,6:00,Severe Cyclonic Storm,196,982,11.7,84.4,92,18,3,28,11,1.1,0.1,1.225
14-Jul,18:00,Depression,49,939,11.8,82.0,77,14,0,90,14,1.0,1.7,1.225
